Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações;Coluna1
Santa Maria da Boa Vista;PE;42266;Em elaboração;0.55;0.67;0.53;0;28318,22
Ituverava;SP;42259;Em elaboração;0;0;0.06;0;0
Paiçandu;PR;42251;Em elaboração;0;0;0.01;0;0
Tuntum;MA;42242;Não;0.63;;0.29;0.01;0
São Francisco de Itabapoana;RJ;42214;Não;0.66;;0;0.02;0
Ipu;CE;42148;Em elaboração;0.1;;0.05;0;0
Amarante do Maranhão;MA;42017;Em elaboração;0.88;;0.6;;0
Entre Rios;BA;42014;Em elaboração;0.13;0.88;0;0.01;36972,32
Bom Jardim;MA;42010;Em elaboração;0.69;;0.47;0.01;0
Oliveira;MG;41987;Sim;0;0;0.04;0.01;0
Salinas;MG;41864;Sim;0.13;0.37;0.08;0.06;15489,68
Novo Horizonte;SP;41765;Sim;0.01;0.01;0.05;0;417,65
São Mateus do Maranhão;MA;41750;Em elaboração;0.7;;0.16;0;0
Machadinho D'Oeste;RO;41724;Em elaboração;0.69;;0.4;0;0
Charqueadas;RS;41705;Sim;0.02;;0.02;0.01;0
Andradas;MG;41704;Em elaboração;0.27;0.25;0;0.04;10426
Socorro;SP;41690;Sim;0.39;0.44;0.1;0.02;18343,6
Goianésia do Pará;PA;41678;Sim;0.71;0.97;0.32;0;40427,66
Santa Maria de Jetibá;ES;41588;Em elaboração;0.67;0.78;0.35;0.05;32438,64
Girau do Ponciano;AL;41549;Não;0.61;;;0.02;0
Américo Brasiliense;SP;41545;Sim;0.01;0.01;0.01;0;415,45
Muaná;PA;41454;Em elaboração;0.07;;0.58;;0
Colinas;MA;41443;Não;0.54;;;;0
Dois Vizinhos;PR;41424;Sim;0;0.28;0.22;0.17;11598,72
Remanso;BA;41324;Em elaboração;0.19;0.39;0.4;0;16116,36
São Manuel;SP;41287;Não;0;0;0.02;0.02;0
Guaíra;SP;41283;Sim;0;0;0.04;0;0
Sento Sé;BA;41279;Não;0;0.88;0.42;0;36325,52
São Miguel do Oeste;SC;41246;Sim;0.11;0.98;0.13;0;40421,08
Promissão;SP;41211;Sim;0.11;0.16;0.16;0.01;6593,76
Rio Real;BA;41209;Não;0.24;;0.24;0;0
Brumadinho;MG;41208;Sim;0.31;0.58;0.03;;23900,64
Juína;MT;41190;Em elaboração;0.15;0.95;0.03;0;39130,5
Salinópolis;PA;41164;Em elaboração;0.11;;;;0
Uruaçu;GO;41150;Em elaboração;0.08;0.34;0.08;0;13991
Colniza;MT;41117;Em elaboração;0.86;;0.42;0.02;0
Curuçá;PA;41093;Não;;;0.33;0;0
Várzea Alegre;CE;41078;Não;0.51;0.54;0.38;0.06;22182,12
Buritis;RO;41043;Sim;0.88;;0.44;0;0
Autazes;AM;41005;Não;0.74;;0.57;0.25;0
Guaraciaba do Norte;CE;40921;Não;0.75;0.94;0.5;0;38465,74
Araquari;SC;40890;Em elaboração;0.1;0.96;0;0;39254,4
Lajedo;PE;40883;Em elaboração;0;;0.22;;0
Guariba;SP;40857;Sim;0;0;0.02;0;0
São Paulo de Olivença;AM;40837;Não;0.66;;0.58;0.01;0
Jeremoabo;BA;40832;Não;0.53;0.37;0.31;0;15107,84
Simão Dias;SE;40724;Em elaboração;0.17;0.92;0.1;0.01;37466,08
Inhambupe;BA;40720;Não;0.46;0.51;0.4;;20767,2
Altos;PI;40681;Não;0.24;0.95;0.21;0.02;38646,95
São Francisco do Conde;BA;40664;Não;0.01;0.61;0.14;;24805,04
Tucumã;PA;40661;Sim;0.12;;0;0;0
Arcos;MG;40658;Sim;0.09;0;0.07;0;0
Nanuque;MG;40583;Sim;0.2;0.39;0.1;0.01;15827,37
Pitangueiras;SP;40430;Sim;0;0;0.05;0;0
Pojuca;BA;40401;Não;0.15;;0;0;0
Boa Esperança;MG;40308;Em elaboração;0.16;0.16;0.08;0;6449,28
Santa Cruz;RN;40295;Não;;;0.15;0;0
Amambai;MS;40247;Sim;0.36;0.68;0.25;0.01;27367,96
